id,login,user,email,phone,region,potential_money_predict
4260145,fedor_2016,Виктория Афанасьевна Блохина,lavrenti_2010@rambler.ru,8 444 098 62 69,Ямало-Ненецкий АО,5877
5034710,vsevolod52,Данилова Глафира Юрьевна,kudrjashovaoksana@gmail.com,89263200568,респ. Карачаево-Черкесия,1936
492309,kim2017,Исакова Антонина Михайловна,ivan_24@hotmail.com,+7 (817) 308-77-28,Ханты-Мансийский АО,9167
3688593,sazonovserafim,Дарья Ильинична Егорова,ejudin@rambler.ru,+7 (726) 908-5426,Магаданская обл.,908
337579,oktjabrina59,Лыткин Сократ Тихонович,sidorovereme@yahoo.com,8 (830) 056-85-08,респ. Ингушетия,7366
5868636,spartakbelov,Валерия Феликсовна Носова,avksenti_2021@yahoo.com,8 (995) 759-37-49,Ханты-Мансийский АО,8918
7399207,ovchinnikovvitali,Матвей Елизарович Мартынов,ljudmila1990@hotmail.com,8 (200) 628-9074,респ. Татарстан,6613
3046186,petrovgleb,Кулакова Лариса Кирилловна,solovevvitali@hotmail.com,87944831856,респ. Коми,7230
999154,karpovaakulina,Михайлов Семен Фокич,wfedotova@hotmail.com,+7 201 054 39 12,Ханты-Мансийский АО,3642
6819358,psamsonov,Мамонтов Геннадий Гордеевич,aksenovaglafira@yahoo.com,8 483 771 9421,Алтайский край,8160
4145203,stepanovamvrosi,Суханов Валентин Авдеевич,ljubim_01@rambler.ru,8 (411) 326-4687,Ростовская обл.,6243
3341492,praskovja_2008,Феоктист Ильясович Князев,fveselov@mail.ru,82444976286,Ханты-Мансийский АО,7696
1674746,ratiborvoronov,Арсений Даниилович Аксенов,jvolkova@hotmail.com,+71194570586,Еврейская АО,2303
652980,kirill1971,Раиса Юльевна Калинина,nina2015@rambler.ru,+79856309221,Краснодарский край,7898
7504029,dobromisl_57,Ксения Борисовна Фомина,feofanvolkov@mail.ru,+7 379 920 55 80,Томская обл.,7262
7990958,samsonovazinaida,Галактион Эдгарович Зайцев,fevronija53@yahoo.com,+7 (160) 950-4951,Ставропольский край,9148
4579932,foma31,Николаева Анжелика Викторовна,valerjan_2008@mail.ru,+7 820 724 4145,респ. Северная Осетия - Алания,125
3539909,karl09,Наина Болеславовна Егорова,fedor_2020@hotmail.com,+7 999 573 7493,Рязанская обл.,2479
7992086,terentevkapiton,Самсонов Ростислав Гертрудович,zhukovaakulina@yandex.ru,81673783312,Ставропольский край,7628
5304336,anastasija_44,Данилова Зоя Константиновна,regina2019@gmail.com,8 350 745 3945,респ. Чувашия,3187
7233283,fedot_63,Мясников Софон Теймуразович,baranovavalentina@gmail.com,+7 (569) 299-6551,Еврейская АО,7418
7989207,bikovvladlen,Антонина Станиславовна Соболева,paramon_1979@yahoo.com,8 457 776 96 00,Чукотский АО,5895
3236493,trofimovbudimir,Алла Степановна Мамонтова,kuprijan_1996@gmail.com,8 (498) 709-60-89,респ. Карачаево-Черкесия,7981
6154208,aleksandrovandre,Иванна Ждановна Цветкова,mihe_2020@rambler.ru,8 943 702 67 07,Тюменская обл.,3064
3368102,stojan2020,Акулина Семеновна Панова,savvatikorolev@gmail.com,81199178037,Тульская обл.,7561
